MunicipalityNumber	MunicipalityName	Canton	Scenario1PotentialSolarElectricity	Scenario2PotentialSolarElectricity	Scenario2PotentialSolarHeat
1	Aeugst am Albis	ZH	13.43	8.70	4.72
2	Affoltern am Albis	ZH	50.06	33.83	18.63
3	Bonstetten	ZH	19.66	11.48	8.79
4	Hausen am Albis	ZH	23.67	15.70	8.38
5	Hedingen	ZH	19.14	11.97	7.19
6	Kappel am Albis	ZH	9.47	6.50	2.88
7	Knonau	ZH	13.18	9.13	3.94
8	Maschwanden	ZH	6.12	4.12	1.81
9	Mettmenstetten	ZH	30.41	21.05	9.32
10	Obfelden	ZH	24.82	14.98	9.58
11	Ottenbach	ZH	15.96	9.71	5.99
12	Rifferswil	ZH	9.55	6.96	2.48
13	Stallikon	ZH	16.73	9.13	7.87
14	Wettswil am Albis	ZH	19.45	11.22	9.54
21	Adlikon	ZH	7.06	4.88	1.93
22	Benken (ZH)	ZH	8.90	5.98	2.59
23	Berg am Irchel	ZH	6.10	3.88	1.91
24	Buch am Irchel	ZH	9.65	6.65	2.69
25	Dachsen	ZH	10.66	5.98	4.20
26	Dorf	ZH	5.12	3.20	1.68
27	Feuerthalen	ZH	15.51	9.15	6.18
28	Flaach	ZH	12.91	8.38	3.88
29	Flurlingen	ZH	8.85	5.26	3.32
30	Andelfingen	ZH	16.54	10.81	5.23
31	Henggart	ZH	10.54	5.95	4.23
32	Humlikon	ZH	4.04	2.48	1.36
33	Kleinandelfingen	ZH	16.50	9.94	5.86
34	Laufen-Uhwiesen	ZH	11.35	6.21	4.69
35	Marthalen	ZH	22.02	14.08	6.73
36	Oberstammheim	ZH	12.01	7.60	3.85
37	Ossingen	ZH	16.18	11.48	4.11
38	Rheinau	ZH	12.05	7.24	4.16
39	Thalheim an der Thur	ZH	8.94	6.09	2.53
40	Trüllikon	ZH	11.37	7.58	3.34
41	Truttikon	ZH	4.98	3.43	1.43
42	Unterstammheim	ZH	14.02	10.55	2.97
43	Volken	ZH	3.30	2.21	0.94
44	Waltalingen	ZH	8.48	4.97	2.78
51	Bachenbülach	ZH	20.79	14.81	6.46
52	Bassersdorf	ZH	37.67	23.68	16.65
53	Bülach	ZH	70.63	49.49	25.76
54	Dietlikon	ZH	38.14	27.49	12.34
55	Eglisau	ZH	23.49	14.83	8.91
56	Embrach	ZH	45.23	32.30	13.43
57	Freienstein-Teufen	ZH	11.57	6.25	4.93
58	Glattfelden	ZH	21.15	12.18	8.47
59	Hochfelden	ZH	9.85	6.51	3.26
60	Höri	ZH	14.91	10.64	4.34
61	Hüntwangen	ZH	8.30	5.11	2.70
62	Kloten	ZH	113.84	92.26	26.86
63	Lufingen	ZH	9.88	6.04	3.92
64	Nürensdorf	ZH	30.35	19.62	11.87
65	Oberembrach	ZH	10.21	6.95	3.21
66	Opfikon	ZH	50.91	35.27	19.31
67	Rafz	ZH	29.73	20.66	8.62
68	Rorbas	ZH	10.02	5.56	4.09
69	Wallisellen	ZH	61.57	40.12	24.77
70	Wasterkingen	ZH	3.98	2.37	1.38
71	Wil (ZH)	ZH	13.59	9.05	4.06
72	Winkel	ZH	19.91	12.64	8.03
81	Bachs	ZH	6.92	4.81	1.93
82	Boppelsen	ZH	8.46	5.16	3.33
83	Buchs (ZH)	ZH	33.08	25.05	9.23
84	Dällikon	ZH	24.21	18.91	6.08
85	Dänikon	ZH	7.52	4.54	3.14
86	Dielsdorf	ZH	33.18	23.68	10.82
87	Hüttikon	ZH	3.74	2.23	1.29
88	Neerach	ZH	16.60	9.40	6.96
89	Niederglatt	ZH	19.21	11.77	7.84
90	Niederhasli	ZH	39.68	27.90	12.86
91	Niederweningen	ZH	16.29	9.67	6.41
92	Oberglatt	ZH	23.12	15.83	8.12
93	Oberweningen	ZH	8.46	5.18	3.26
94	Otelfingen	ZH	29.40	23.93	5.77
95	Regensberg	ZH	2.24	1.03	1.26
96	Regensdorf	ZH	87.36	65.52	25.17
97	Rümlang	ZH	48.90	38.30	12.12
98	Schleinikon	ZH	5.81	3.86	1.78
99	Schöfflisdorf	ZH	7.93	4.49	3.33
100	Stadel	ZH	17.97	12.63	4.95
101	Steinmaur	ZH	21.28	13.69	7.49
102	Weiach	ZH	9.90	6.45	3.06
111	Bäretswil	ZH	33.47	20.58	13.76
112	Bubikon	ZH	43.04	28.94	15.07
113	Dürnten	ZH	36.61	21.70	15.29
114	Fischenthal	ZH	17.45	11.91	5.57
115	Gossau (ZH)	ZH	49.79	30.74	19.99
116	Grüningen	ZH	22.26	14.66	7.74
117	Hinwil	ZH	84.82	60.04	26.95
118	Rüti (ZH)	ZH	48.81	30.20	20.32
119	Seegräben	ZH	8.71	5.38	3.33
120	Wald (ZH)	ZH	53.58	34.77	21.02
121	Wetzikon (ZH)	ZH	94.35	61.03	40.69
131	Adliswil	ZH	46.76	28.60	23.14
134	Hütten	ZH	7.00	4.66	2.34
135	Kilchberg (ZH)	ZH	24.25	12.04	14.78
136	Langnau am Albis	ZH	24.14	14.03	11.18
137	Oberrieden	ZH	13.70	6.46	7.91
138	Richterswil	ZH	41.77	24.57	19.92
139	Rüschlikon	ZH	19.38	9.94	10.77
140	Schönenberg (ZH)	ZH	17.39	12.13	5.37
